,Networks,Number of Connected Components,largest_component/N,Diameter,avrage shortes path,Average Clustering Coefficient,avrage Degress,# Edges
0,"Fat_tree, Size 10000 seed 6673",113,0.9586266652225712,12,5.525331198811204,0.001480406962997949,0.00036910310222112265,15731
1,"Fat_tree, Size 1000 seed 5",1,1.0,7,4.208148148148148,0.01801909336347584,0.00582982982982983,2912
2,"Fat_tree, Size 100 seed 76",1,1.0,9,4.47010101010101,0.055650793650793645,0.030909090909090914,153
3,"Fat_tree, Size 5000 seed 1313",1,1.0,8,4.541275405161051,0.0037592019493885784,0.0012099874861325308,14146
4,"Layered, Size 10000 seed 4575",1,1.0,11,5.154308487320658,0.0019125927428784858,0.0015017943516929318,16170
5,"Layered, Size 1000 seed 981",1,1.0,5,3.1531151151151153,0.03841543038455598,0.011345345345345346,5667
6,"Layered, Size 100 seed 97",1,1.0,5,2.934747474747475,0.1464516023192494,0.05515151515151515,273
7,"Layered, Size 5000 seed 4114",1,1.0,9,4.320985833926081,0.00783755391469618,0.001974142362347296,15892
8,"Microservice, Size 10000 seed 6516",1,1.0,6,4.003355319226933,0.006703458267490366,0.0009210122163333604,16180
9,"Microservice, Size 1000 seed 962",1,1.0,5,2.9176676676676676,0.08734407159906624,0.0176996996996997,8841
10,"Microservice, Size 100 seed 30",1,1.0,5,2.6515151515151514,0.5518659065736465,0.09555555555555556,473
11,"Microservice, Size 500 seed 469",1,1.0,5,2.913987975951904,0.1645430794280133,0.029250501002004003,3649
