,Networks,Percentage of Edges removed,Number of Connected Components,largest_component/N,Diameter of the LCC,avrage shortes path of the LCC,Average Clustering Coefficient,avrage Degress
0,"Fat_tree, Size 10000 seed 6673",10 %,692,0.8931008339651251,12,5.6807910246870525,0.001682014773059139,0.00033219513834127867
1,"Fat_tree, Size 10000 seed 6673",20 %,1309,0.8201018087295571,13,5.832170647540665,0.0014296957929756599,0.00029528717446143465
2,"Fat_tree, Size 10000 seed 6673",30 %,1966,0.7395212823567637,16,6.029102887506265,0.0011943564191137473,0.00025837921058159067
3,"Fat_tree, Size 10000 seed 6673",40 %,2633,0.6587241416657641,16,6.273794565863311,0.0009283411122857108,0.00022147124670174667
4,"Fat_tree, Size 10000 seed 6673",50 %,3388,0.5726199501787068,16,6.6426784019884435,0.0005553549065950236,0.00018456328282190267
5,"Fat_tree, Size 1000 seed 5",10 %,47,0.954,9,4.293591241164941,0.015806660618418376,0.005247247247247247
6,"Fat_tree, Size 1000 seed 5",20 %,95,0.906,9,4.399695095922823,0.014958866094339253,0.004664664664664665
7,"Fat_tree, Size 1000 seed 5",30 %,150,0.847,10,4.5338658762256445,0.014643546060974035,0.004082082082082082
8,"Fat_tree, Size 1000 seed 5",40 %,202,0.791,11,4.7051225015602745,0.011049043589485101,0.0034994994994994996
9,"Fat_tree, Size 1000 seed 5",50 %,257,0.728,13,4.901318076696343,0.0079099819255392,0.002916916916916917
10,"Fat_tree, Size 100 seed 76",10 %,8,0.9,10,4.605742821473158,0.05196825396825397,0.02787878787878788
11,"Fat_tree, Size 100 seed 76",20 %,13,0.86,10,4.987688098495212,0.05021428571428571,0.02484848484848485
12,"Fat_tree, Size 100 seed 76",30 %,19,0.69,10,4.7561807331628305,0.04328571428571428,0.02181818181818182
13,"Fat_tree, Size 100 seed 76",40 %,27,0.56,9,4.4818181818181815,0.035476190476190474,0.018787878787878787
14,"Fat_tree, Size 100 seed 76",50 %,35,0.53,10,5.06966618287373,0.037333333333333336,0.01575757575757576
15,"Fat_tree, Size 5000 seed 1313",10 %,237,0.9511993382961125,8,4.637383646728495,0.0033665525377378673,0.001088954523254153
16,"Fat_tree, Size 5000 seed 1313",20 %,485,0.8999172870140613,8,4.752228717705193,0.0032370399182358425,0.0009679215603757751
17,"Fat_tree, Size 5000 seed 1313",30 %,706,0.8542183622828784,9,4.917156936011484,0.002260542573902356,0.0008468885974973975
18,"Fat_tree, Size 5000 seed 1313",40 %,958,0.8010752688172043,10,5.145523307714835,0.0017531186186357539,0.00072585563461902
19,"Fat_tree, Size 5000 seed 1313",50 %,1243,0.7413151364764268,11,5.459418584379359,0.0015070404078571665,0.0006048226717406421
20,"Layered, Size 10000 seed 4575",10 %,224,0.9519500107735401,12,5.260716830001538,0.001555779927138363,0.0013516149165236386
21,"Layered, Size 10000 seed 4575",20 %,484,0.8939883645765999,14,5.451291605626758,0.0011400489138769726,0.0012014354813543455
22,"Layered, Size 10000 seed 4575",30 %,779,0.8237448825684119,18,5.608276792275896,0.0009646015378562405,0.0010512560461850523
23,"Layered, Size 10000 seed 4575",40 %,1111,0.7438052143934497,18,5.778573762185579,0.0008396572888041695,0.000901076611015759
24,"Layered, Size 10000 seed 4575",50 %,1483,0.6483516483516484,18,5.944430670753697,0.0005090094901498213,0.0007508971758464659
25,"Layered, Size 1000 seed 981",10 %,26,0.975,6,3.2007329015953245,0.033320350716120675,0.01021021021021021
26,"Layered, Size 1000 seed 981",20 %,46,0.955,6,3.2658105304751555,0.03016337983054686,0.009075075075075075
27,"Layered, Size 1000 seed 981",30 %,81,0.92,6,3.3492761508255664,0.02623476025213978,0.00793993993993994
28,"Layered, Size 1000 seed 981",40 %,104,0.897,6,3.4738314222009876,0.021566737582899707,0.006804804804804805
29,"Layered, Size 1000 seed 981",50 %,142,0.859,7,3.643812532054674,0.017872633855065666,0.00566966966966967
30,"Layered, Size 100 seed 97",10 %,3,0.98,7,3.2625710077845573,0.08615283572636515,0.0496969696969697
31,"Layered, Size 100 seed 97",20 %,9,0.92,7,3.229813664596273,0.08602575202575202,0.04424242424242425
32,"Layered, Size 100 seed 97",30 %,10,0.91,7,3.4400488400488403,0.0827077922077922,0.03878787878787879
33,"Layered, Size 100 seed 97",40 %,14,0.87,8,3.6228281208233093,0.03926984126984127,0.03333333333333333
34,"Layered, Size 100 seed 97",50 %,19,0.82,8,3.878349894610057,0.010063492063492063,0.02787878787878788
35,"Layered, Size 5000 seed 4114",10 %,165,0.9591328183403938,9,4.400268936122405,0.005670044816800412,0.0017767529705923345
36,"Layered, Size 5000 seed 4114",20 %,363,0.9097931721903812,9,4.482379982215418,0.004457022321220173,0.0015793635788373726
37,"Layered, Size 5000 seed 4114",30 %,590,0.8532270122103165,10,4.604628427542108,0.0037762945308861327,0.0013819741870824108
38,"Layered, Size 5000 seed 4114",40 %,830,0.7921754298529778,11,4.779907317352252,0.0034584560765019224,0.001184584795327449
39,"Layered, Size 5000 seed 4114",50 %,1151,0.7129329678544729,14,5.021720607250143,0.0025953133914355555,0.000987195403572487
40,"Microservice, Size 10000 seed 6516",10 %,336,0.9434885290148448,6,4.048841004760958,0.00461496037297166,0.0008289109947000244
41,"Microservice, Size 10000 seed 6516",20 %,699,0.8822537112010796,7,4.114087013628583,0.003711334445559854,0.0007368097730666883
42,"Microservice, Size 10000 seed 6516",30 %,1108,0.8132591093117408,8,4.206823879964987,0.003279017156944367,0.0006447085514333522
43,"Microservice, Size 10000 seed 6516",40 %,1561,0.7368421052631579,8,4.328987658017884,0.0018139307047656662,0.0005526073298000162
44,"Microservice, Size 10000 seed 6516",50 %,2071,0.6508097165991903,8,4.497574445041654,0.0013146812609158896,0.0004605061081666802
45,"Microservice, Size 1000 seed 962",10 %,4,0.997,5,2.9976334626369066,0.07674483307744907,0.01592992992992993
46,"Microservice, Size 1000 seed 962",20 %,13,0.988,5,3.085426331786914,0.06872966439938098,0.014160160160160161
47,"Microservice, Size 1000 seed 962",30 %,17,0.984,5,3.2074535394387516,0.05992730351406801,0.01239039039039039
48,"Microservice, Size 1000 seed 962",40 %,27,0.974,6,3.3558249323099454,0.050612731723550984,0.01062062062062062
49,"Microservice, Size 1000 seed 962",50 %,40,0.961,6,3.530766562608394,0.04333969284381012,0.00885085085085085
50,"Microservice, Size 100 seed 30",10 %,2,0.99,5,2.7649969078540506,0.4907374806920843,0.08606060606060607
51,"Microservice, Size 100 seed 30",20 %,2,0.99,5,2.911976911976912,0.41988209829386297,0.07656565656565657
52,"Microservice, Size 100 seed 30",30 %,5,0.96,6,3.062061403508772,0.3750843976285153,0.06707070707070707
53,"Microservice, Size 100 seed 30",40 %,5,0.96,6,3.2390350877192984,0.30806943056943054,0.05757575757575758
54,"Microservice, Size 100 seed 30",50 %,5,0.96,7,3.430263157894737,0.23275147075147073,0.048080808080808085
55,"Microservice, Size 500 seed 469",10 %,2,0.998,5,2.9992354186284214,0.145482825978151,0.02632464929859719
56,"Microservice, Size 500 seed 469",20 %,6,0.99,6,3.103030303030303,0.1284771494905862,0.02339879759519038
57,"Microservice, Size 500 seed 469",30 %,8,0.986,6,3.2376440904368478,0.10783630499190179,0.020472945891783563
58,"Microservice, Size 500 seed 469",40 %,11,0.98,6,3.3927799340595133,0.09116985521101748,0.01754709418837675
59,"Microservice, Size 500 seed 469",50 %,22,0.958,7,3.593032905023541,0.06710061609529101,0.014621242484969939
