,Networks,batch num / Percentage of nodes removed,largest_component/N,Assortativity,avrage shortes path,efficiency
0,"Fat_tree, Size 10000 seed 6673",0,0.890373045,-0.360264267,5.636272096,0.148255285
1,"Fat_tree, Size 10000 seed 6673",1,0.820766211,-0.353069526,5.73745468,0.124001169
2,"Fat_tree, Size 10000 seed 6673",2,0.750154703,-0.347930091,5.82420723,0.102188613
3,"Fat_tree, Size 10000 seed 6673",3,0.668471395,-0.350636617,5.95709815,0.079565172
4,"Fat_tree, Size 10000 seed 6673",4,0.578172369,-0.325348877,6.140770365,0.058110226
5,"Fat_tree, Size 10000 seed 6673",5,0.478755074,-0.297507981,6.421087533,0.038461195
6,"Fat_tree, Size 10000 seed 6673",6,0.391774892,-0.273913762,7.057444985,0.023925253
7,"Fat_tree, Size 10000 seed 6673",7,0.279069767,-0.207734987,10.19820125,0.009314016
8,"Fat_tree, Size 10000 seed 6673",8,0.017278618,-0.30471167,3.708333333,0.000646558
9,"Fat_tree, Size 100 seed 76",0,0.944444444,0.198383838,4.666106443,0.236901492
10,"Fat_tree, Size 100 seed 76",1,0.7875,0.290060221,4.48796723,0.177286644
11,"Fat_tree, Size 100 seed 76",2,0.742857143,-0.123441322,4.661387632,0.154760097
12,"Fat_tree, Size 100 seed 76",3,0.616666667,0.039039039,4.189189189,0.123224823
13,"Fat_tree, Size 100 seed 76",4,0.46,0.097889374,3.861660079,0.083304179
14,"Fat_tree, Size 100 seed 76",5,0.35,0.503344482,3.186813187,0.064984737
15,"Fat_tree, Size 100 seed 76",6,0.266666667,0.666666667,2.357142857,0.045938697
16,"Fat_tree, Size 100 seed 76",7,0.15,-0.25,1.333333333,0.028947368
17,"Fat_tree, Size 100 seed 76",8,0.2,,1,0.022222222
18,"Layered, Size 10000 seed 4575",0,0.943021307,-0.282690489,5.244665635,0.188591917
19,"Layered, Size 10000 seed 4575",1,0.889577161,-0.268896041,5.473690474,0.163266429
20,"Layered, Size 10000 seed 4575",2,0.822714681,-0.26799923,5.67181798,0.137655993
21,"Layered, Size 10000 seed 4575",3,0.739317774,-0.254573149,5.754025915,0.111943623
22,"Layered, Size 10000 seed 4575",4,0.630331754,-0.231207099,5.719171389,0.083735612
23,"Layered, Size 10000 seed 4575",5,0.464189553,-0.220670533,5.071931144,0.050994953
24,"Layered, Size 10000 seed 4575",6,0.357501795,-0.243911461,4.379546354,0.034473158
25,"Layered, Size 10000 seed 4575",7,0.270182992,-0.150533598,3.821864542,0.021985558
26,"Layered, Size 10000 seed 4575",8,0.16344086,0.074547568,3.828421053,0.008641877
27,"Layered, Size 1000 seed 981",0,0.981111111,-0.139965964,3.214104668,0.322741482
28,"Layered, Size 1000 seed 981",1,0.9475,-0.146272704,3.239160971,0.299426158
29,"Layered, Size 1000 seed 981",2,0.925714286,-0.164878512,3.241628027,0.286568499
30,"Layered, Size 1000 seed 981",3,0.891666667,-0.150626258,3.286814379,0.263458357
31,"Layered, Size 1000 seed 981",4,0.86,-0.123992636,3.47114436,0.233883892
32,"Layered, Size 1000 seed 981",5,0.8525,-0.128685433,3.607503881,0.223624418
33,"Layered, Size 1000 seed 981",6,0.743333333,-0.126450475,3.762412637,0.16600499
34,"Layered, Size 1000 seed 981",7,0.605,-0.054972524,4.343112948,0.099333553
35,"Layered, Size 1000 seed 981",8,0.45,-0.266308519,3.828282828,0.06522134
36,"Layered, Size 100 seed 97",0,1,-0.307012785,3.05443196,0.376987099
37,"Layered, Size 100 seed 97",1,0.9125,-0.322008016,3.026255708,0.317589662
38,"Layered, Size 100 seed 97",2,0.942857143,-0.365810548,3.055477855,0.338385093
39,"Layered, Size 100 seed 97",3,0.683333333,-0.153594771,2.991463415,0.187730697
40,"Layered, Size 100 seed 97",4,0.62,-0.210539747,2.907526882,0.160095238
41,"Layered, Size 100 seed 97",5,0.575,-0.181759379,2.509881423,0.157393162
42,"Layered, Size 100 seed 97",6,0.6,-0.535714286,3.594771242,0.140697865
43,"Layered, Size 100 seed 97",7,0.35,0.444444444,1.714285714,0.081578947
44,"Layered, Size 100 seed 97",8,0.4,-0.5,1.666666667,0.096296296
45,"Layered, Size 5000 seed 4114",0,0.954595792,0.300467389,4.378832395,0.223209247
46,"Layered, Size 5000 seed 4114",1,0.90189972,0.302754336,4.424859493,0.198300421
47,"Layered, Size 5000 seed 4114",2,0.851245552,0.296807751,4.532956292,0.173924987
48,"Layered, Size 5000 seed 4114",3,0.792029888,0.287199711,4.620210875,0.149050871
49,"Layered, Size 5000 seed 4114",4,0.71314741,0.268010542,4.764960043,0.118704757
50,"Layered, Size 5000 seed 4114",5,0.629122589,0.278433068,4.940502003,0.091397839
51,"Layered, Size 5000 seed 4114",6,0.518242123,0.241558641,4.805902564,0.064598965
52,"Layered, Size 5000 seed 4114",7,0.404968944,0.166903072,4.83964134,0.040235924
53,"Layered, Size 5000 seed 4114",8,0.215346535,-0.08172087,4.133386795,0.013547498
54,"Microservice, Size 10000 seed 6516",0,0.93289597,-0.78749299,4.032481812,0.223433152
55,"Microservice, Size 10000 seed 6516",1,0.874736398,-0.781038726,4.043190009,0.196358753
56,"Microservice, Size 10000 seed 6516",2,0.808628585,-0.789010983,4.101757538,0.166230259
57,"Microservice, Size 10000 seed 6516",3,0.733408324,-0.740849819,4.093050271,0.137602027
58,"Microservice, Size 10000 seed 6516",4,0.631117111,-0.74131931,4.134199706,0.101623068
59,"Microservice, Size 10000 seed 6516",5,0.518565401,-0.72997854,4.176375486,0.068856844
60,"Microservice, Size 10000 seed 6516",6,0.429938098,-0.71668743,4.242865377,0.047247265
61,"Microservice, Size 10000 seed 6516",7,0.271959459,-0.650514244,4.491708752,0.018613839
62,"Microservice, Size 10000 seed 6516",8,0.121827411,-0.392504434,3.69600939,0.004890495
63,"Microservice, Size 1000 seed 962",0,0.99,-0.090018737,2.969939091,0.353476332
64,"Microservice, Size 1000 seed 962",1,0.9825,-0.085453558,3.026492277,0.342623331
65,"Microservice, Size 1000 seed 962",2,0.977142857,-0.052619198,3.0848681,0.333607194
66,"Microservice, Size 1000 seed 962",3,0.966666667,-0.028779063,3.158626645,0.320094231
67,"Microservice, Size 1000 seed 962",4,0.962,-0.034647718,3.289934165,0.305758717
68,"Microservice, Size 1000 seed 962",5,0.9625,-0.02532348,3.465733225,0.292974728
69,"Microservice, Size 1000 seed 962",6,0.933333333,-0.013030803,4.032130056,0.244842146
70,"Microservice, Size 1000 seed 962",7,0.885,0.020347183,5.0432717,0.187190362
71,"Microservice, Size 1000 seed 962",8,0.64,-0.130204985,6.274305556,0.09566417
72,"Microservice, Size 100 seed 30",0,1,-0.333082115,2.697877653,0.429837703
73,"Microservice, Size 100 seed 30",1,1,-0.220367336,2.843987342,0.420632911
74,"Microservice, Size 100 seed 30",2,1,-0.318807285,2.986335404,0.4063147
75,"Microservice, Size 100 seed 30",3,1,-0.328722671,3.021468927,0.404896422
76,"Microservice, Size 100 seed 30",4,0.98,-0.244582994,3.081632653,0.384870748
77,"Microservice, Size 100 seed 30",5,0.975,-0.053884846,3.280701754,0.36743895
78,"Microservice, Size 100 seed 30",6,0.5,0.138554217,3.352380952,0.204356869
79,"Microservice, Size 100 seed 30",7,0.3,0.127625202,1.4,0.128947368
80,"Microservice, Size 100 seed 30",8,0.4,0.217391304,1.333333333,0.155555556
81,"Microservice, Size 500 seed 469",0,1,-0.2760197,2.943588221,0.36993038
82,"Microservice, Size 500 seed 469",1,0.995,-0.27612455,2.999620268,0.361024227
83,"Microservice, Size 500 seed 469",2,0.985714286,-0.237089863,3.104314122,0.344772002
84,"Microservice, Size 500 seed 469",3,0.963333333,-0.163331498,3.232602845,0.319413229
85,"Microservice, Size 500 seed 469",4,0.916,-0.061574914,3.338351337,0.283927711
86,"Microservice, Size 500 seed 469",5,0.91,0.001926503,3.50142675,0.270391721
87,"Microservice, Size 500 seed 469",6,0.893333333,-0.078824083,3.67287622,0.251709385
88,"Microservice, Size 500 seed 469",7,0.89,-0.047096686,4.096782431,0.232659211
89,"Microservice, Size 500 seed 469",8,0.78,0.102532171,4.762483131,0.172712754
