,Networks,Percentage of nodes removed,Number of Connected Components,largest_component/N,Diameter,avg shortes path,Average Clustering Coefficient,avg Degress
0,"Fat_tree, Nodes 100 seed 76",10 %,1,1.0,11,4.815353535353536,0.05455555555555556,0.030303030303030307
1,"Fat_tree, Nodes 100 seed 76",20 %,5,0.8,16,5.940822784810127,0.05626984126984127,0.027272727272727275
2,"Fat_tree, Nodes 100 seed 76",30 %,16,0.46,8,3.799033816425121,0.05793650793650793,0.024242424242424242
3,"Fat_tree, Nodes 100 seed 76",40 %,23,0.33,10,4.6022727272727275,0.06207936507936508,0.021212121212121217
4,"Fat_tree, Nodes 100 seed 76",50 %,33,0.12,3,1.5151515151515151,0.07306349206349207,0.018181818181818184
5,"Fat_tree, Nodes 1000 seed 5",10 %,1,1.0,8,4.226238238238238,0.018025839395221867,0.005825825825825826
6,"Fat_tree, Nodes 1000 seed 5",20 %,3,0.988,12,4.90350056811423,0.015229752559487242,0.005243243243243243
7,"Fat_tree, Nodes 1000 seed 5",30 %,30,0.878,17,5.88886060628099,0.014697869527883661,0.00466066066066066
8,"Fat_tree, Nodes 1000 seed 5",40 %,142,0.563,19,5.481817664646056,0.01431914435845584,0.004078078078078078
9,"Fat_tree, Nodes 1000 seed 5",50 %,243,0.318,13,3.7825327857468802,0.013884760825540203,0.0034954954954954953
10,"Fat_tree, Nodes 10000 seed 6673",10 %,114,0.9572186721542294,12,5.519350035772724,0.0014804230263511717,0.00036907963879844
11,"Fat_tree, Nodes 10000 seed 6673",20 %,311,0.8736055453265461,17,6.130331153599665,0.00027719621807526315,0.000332171674918596
12,"Fat_tree, Nodes 10000 seed 6673",30 %,554,0.7883678111123146,18,6.486590201908535,1.942221302612201e-05,0.00029526371103875195
13,"Fat_tree, Nodes 10000 seed 6673",40 %,771,0.7246832015596231,18,7.303173685107653,0.0,0.000258355747158908
14,"Fat_tree, Nodes 10000 seed 6673",50 %,1093,0.6495180331419906,24,9.000610823534961,0.0,0.00022144778327906397
15,"Fat_tree, Nodes 5000 seed 1313",10 %,1,1.0,9,4.87484926477821,0.0035267770635899103,0.0010892966659053992
16,"Fat_tree, Nodes 5000 seed 1313",20 %,6,0.9950372208436724,12,5.373575777869813,0.0035454141008812645,0.0009682637030270216
17,"Fat_tree, Nodes 5000 seed 1313",30 %,66,0.9414805624483044,17,5.980572592203445,0.003663727561569816,0.0008472307401486439
18,"Fat_tree, Nodes 5000 seed 1313",40 %,205,0.8444995864350703,23,6.707246165091012,0.004073228202912116,0.0007261977772702661
19,"Fat_tree, Nodes 5000 seed 1313",50 %,486,0.6710090984284532,27,7.933873226190725,0.004080945829971672,0.0006051648143918885
20,"Layered, Nodes 100 seed 97",10 %,1,1.0,6,3.009292929292929,0.11535078079814921,0.05454545454545455
21,"Layered, Nodes 100 seed 97",20 %,7,0.94,7,3.6236559139784945,0.11641236541236541,0.049090909090909095
22,"Layered, Nodes 100 seed 97",30 %,12,0.78,9,3.889110889110889,0.08812409812409813,0.04363636363636364
23,"Layered, Nodes 100 seed 97",40 %,16,0.6,8,3.1192090395480228,0.047785714285714286,0.038181818181818185
24,"Layered, Nodes 100 seed 97",50 %,27,0.52,6,2.7232277526395174,0.031714285714285716,0.03272727272727273
25,"Layered, Nodes 1000 seed 981",10 %,184,0.817,7,3.2796067631458947,0.03626717979805509,0.010216216216216215
26,"Layered, Nodes 1000 seed 981",20 %,330,0.618,8,2.8829024458046817,0.029766161148142057,0.00908108108108108
27,"Layered, Nodes 1000 seed 981",30 %,366,0.58,10,3.070662855100947,0.029558588070850333,0.007945945945945946
28,"Layered, Nodes 1000 seed 981",40 %,439,0.479,12,3.0763358111826418,0.02811264541292711,0.0068108108108108105
29,"Layered, Nodes 1000 seed 981",50 %,516,0.395,10,2.823851442523935,0.025783285655512547,0.005675675675675676
