,Networks,batch num / Percentage of nodes removed,largest_component/N,Assortativity,avrage shortes path,efficiency
0,"Fat_tree, Size 10000 seed 6673",1,0.9540628385698808,-0.36819820535910375,5.533639845735246,0.189940033906
1,"Fat_tree, Size 10000 seed 6673",2,0.0055374984952449744,-0.43857931627489893,5.906280193236715,0.247085804694
2,"Fat_tree, Size 10000 seed 6673",3,0.00040628385698808235,-0.4467289719626174,1.3333333333333333,0.833333333333
3,"Fat_tree, Size 10000 seed 6673",4,0.00030954960532425323,,1.0,1.0
4,"Fat_tree, Size 10000 seed 6673",5,0.00036114120621162876,,1.0,1.0
5,"Fat_tree, Size 10000 seed 6673",6,0.0004333694474539545,,1.0,1.0
6,"Fat_tree, Size 10000 seed 6673",7,0.0005417118093174431,,1.0,1.0
7,"Fat_tree, Size 10000 seed 6673",8,0.0007222824124232575,,1.0,1.0
8,"Fat_tree, Size 10000 seed 6673",9,0.0010834236186348862,,1.0,1.0
9,"Fat_tree, Size 10000 seed 6673",10,0.0021668472372697724,,1.0,1.0
10,"Fat_tree, Size 1000 seed 5",1,0.85,0.2370854231218392,5.567426342264654,0.199819692839
11,"Fat_tree, Size 1000 seed 5",2,0.6525,0.045891001950134624,8.92899743346497,0.137961780329
12,"Fat_tree, Size 1000 seed 5",3,0.13,-0.16823663194387883,6.457142857142857,0.220252788103
13,"Fat_tree, Size 1000 seed 5",4,0.011666666666666667,-0.623986778940741,2.2857142857142856,0.563492063492
14,"Fat_tree, Size 1000 seed 5",5,0.004,,1.0,1.0
15,"Fat_tree, Size 1000 seed 5",6,0.005,,1.0,1.0
16,"Fat_tree, Size 1000 seed 5",7,0.006666666666666667,,1.0,1.0
17,"Fat_tree, Size 1000 seed 5",8,0.01,,1.0,1.0
18,"Fat_tree, Size 1000 seed 5",9,0.02,,1.0,1.0
19,"Fat_tree, Size 100 seed 76",1,0.6,0.32214765100671144,5.174703004891684,0.26456851635
20,"Fat_tree, Size 100 seed 76",2,0.25,0.3845018801466043,3.8210526315789473,0.358235171261
21,"Fat_tree, Size 100 seed 76",3,0.14285714285714285,0.535098238169911,1.4666666666666666,0.774074074074
22,"Fat_tree, Size 100 seed 76",4,0.05,-0.6,1.3333333333333333,0.833333333333
23,"Fat_tree, Size 100 seed 76",5,0.04,,1.0,1.0
24,"Fat_tree, Size 100 seed 76",6,0.05,,1.0,1.0
25,"Fat_tree, Size 100 seed 76",7,0.06666666666666667,,1.0,1.0
26,"Fat_tree, Size 5000 seed 1313",1,0.7702020202020202,-0.4159490182279365,5.415631490126343,0.19454407491
27,"Fat_tree, Size 5000 seed 1313",2,0.47365702479338845,-0.6167741326163014,8.26098826732252,0.131272259008
28,"Fat_tree, Size 5000 seed 1313",3,0.003246753246753247,-0.7037000070916591,2.9454545454545453,0.462121212121
29,"Fat_tree, Size 5000 seed 1313",4,0.0006887052341597796,,1.0,1.0
30,"Fat_tree, Size 5000 seed 1313",5,0.0008264462809917355,,1.0,1.0
31,"Fat_tree, Size 5000 seed 1313",6,0.0010330578512396695,,1.0,1.0
32,"Fat_tree, Size 5000 seed 1313",7,0.0013774104683195593,,1.0,1.0
33,"Fat_tree, Size 5000 seed 1313",8,0.002066115702479339,,1.0,1.0
34,"Fat_tree, Size 5000 seed 1313",9,0.004132231404958678,,1.0,1.0
35,"Layered, Size 10000 seed 4575",1,0.9991379310344828,-0.2588623581831198,5.17377933400534,0.213270255235
36,"Layered, Size 10000 seed 4575",2,0.1460727969348659,-0.5712405560229852,20.99933780182508,0.076058490532
37,"Layered, Size 1000 seed 981",1,0.61,0.03525128755180799,3.304874157393004,0.325150572374
38,"Layered, Size 1000 seed 981",2,0.56125,-0.039875306367696574,4.027968899140948,0.270699603616
39,"Layered, Size 1000 seed 981",3,0.47,-0.008065743418049477,5.684984061086811,0.20067394488
40,"Layered, Size 1000 seed 981",4,0.20833333333333334,-0.1811497893278307,14.20025806451613,0.119694373323
41,"Layered, Size 1000 seed 981",5,0.008,-0.26923076923076844,1.5,0.75
42,"Layered, Size 1000 seed 981",6,0.005,,1.0,1.0
43,"Layered, Size 100 seed 97",1,0.6111111111111112,-0.18866491152239157,2.6316498316498316,0.442087542088
44,"Layered, Size 100 seed 97",2,0.55,-0.3495490808185928,3.3551797040169133,0.368866404913
45,"Layered, Size 100 seed 97",3,0.24285714285714285,-0.4433962264150946,3.514705882352941,0.394695378151
46,"Layered, Size 100 seed 97",4,0.08333333333333333,-0.35802469135802445,1.8,0.666666666667
47,"Layered, Size 100 seed 97",5,0.04,,1.0,1.0
48,"Layered, Size 5000 seed 4114",1,0.9995012468827931,0.31095975041143287,4.332988751720418,0.246653380014
49,"Layered, Size 5000 seed 4114",2,0.5940703796065392,0.06867825267796777,5.239310911610867,0.212252378561
50,"Layered, Size 5000 seed 4114",3,0.027743142144638404,-0.6023289974809084,4.692798774259448,0.261721549362
51,"Microservice, Size 1000 seed 962",1,0.8444444444444444,0.02450940240915441,3.092514388738645,0.350352148488
52,"Microservice, Size 1000 seed 962",2,0.825,0.01893602555254977,3.4057617142594383,0.321555310311
53,"Microservice, Size 1000 seed 962",3,0.8,0.07311864310799371,3.89078073089701,0.28828168924
54,"Microservice, Size 1000 seed 962",4,0.7666666666666667,0.06272652637278325,5.001212465662594,0.240166165231
55,"Microservice, Size 1000 seed 962",5,0.36,0.06563396107113272,5.649534450651769,0.250272457042
56,"Microservice, Size 1000 seed 962",6,0.1525,0.3274745586729749,2.394535519125683,0.474781420765
57,"Microservice, Size 1000 seed 962",7,0.09,0.5256801776790667,3.2393162393162394,0.395214353548
58,"Microservice, Size 1000 seed 962",8,0.01,,1.0,1.0
59,"Microservice, Size 100 seed 30",1,0.8444444444444444,-0.10887565966550228,3.152982456140351,0.395388471178
60,"Microservice, Size 100 seed 30",2,0.825,-0.10145702070207169,4.245687645687646,0.330570910571
61,"Microservice, Size 100 seed 30",3,0.3,0.12525417688615267,2.5428571428571427,0.545873015873
62,"Microservice, Size 100 seed 30",4,0.18333333333333332,0.5480389650961341,1.3636363636363635,0.818181818182
63,"Microservice, Size 100 seed 30",5,0.16,0.5514373960560695,1.2142857142857142,0.892857142857
64,"Microservice, Size 100 seed 30",6,0.125,-0.16129032258064424,1.6,0.733333333333
65,"Microservice, Size 100 seed 30",7,0.1,1.0000000000000029,1.0,1.0
66,"Microservice, Size 100 seed 30",8,0.1,,1.0,1.0
67,"Microservice, Size 500 seed 469",1,0.8444444444444444,-0.07093091093006934,3.167740591584502,0.352005277045
68,"Microservice, Size 500 seed 469",2,0.825,-0.03753326265494863,3.589315648890117,0.319464247337
69,"Microservice, Size 500 seed 469",3,0.8,0.047351978351121676,4.577342549923195,0.27179547745
70,"Microservice, Size 500 seed 469",4,0.2633333333333333,-0.005172325775168658,3.0989938331710483,0.411549280537
71,"Microservice, Size 500 seed 469",5,0.16,0.2898064609517954,2.1564102564102563,0.530662393162
72,"Microservice, Size 500 seed 469",6,0.14,0.24828609372943605,2.4576719576719577,0.486992945326
73,"Microservice, Size 500 seed 469",7,0.04666666666666667,0.19946091644204775,2.0476190476190474,0.611111111111
