,Networks,Percentage of nodes removed,Number of Connected Components,largest_component/N,Diameter,avg shortes path,Average Clustering Coefficient,avg Degress
0,"Fat_tree, Nodes 100 seed 76",10%,1,1,9,4.472323232,0.044571429,0.03030303
1,"Fat_tree, Nodes 100 seed 76",20%,1,1,11,4.941818182,0.019666667,0.027272727
2,"Fat_tree, Nodes 100 seed 76",30%,1,1,13,6.087474747,0.009333333,0.024242424
3,"Fat_tree, Nodes 100 seed 76",40%,3,0.9,26,10.74906367,0.008333333,0.021212121
4,"Fat_tree, Nodes 100 seed 76",50%,12,0.39,16,7.171390013,0,0.018181818
5,"Fat_tree, Nodes 1000 seed 5",10%,1,1,7,4.209711712,0.017956738,0.005825826
6,"Fat_tree, Nodes 1000 seed 5",20%,1,1,8,4.363241241,0.011858663,0.005243243
7,"Fat_tree, Nodes 1000 seed 5",30%,1,1,8,4.598934935,0.009447522,0.004660661
8,"Fat_tree, Nodes 1000 seed 5",40%,2,0.999,8,4.924423421,0.008715801,0.004078078
9,"Fat_tree, Nodes 1000 seed 5",50%,4,0.997,10,5.408506644,0.003627778,0.003495495
10,"Fat_tree, Nodes 10000 seed 6673",10%,113,0.958626665,12,5.525858906,0.001465206,0.00036908
11,"Fat_tree, Nodes 10000 seed 6673",20%,123,0.957110365,14,6.302901839,0,0.000332172
12,"Fat_tree, Nodes 10000 seed 6673",30%,197,0.914329037,18,7.097509053,0,0.000295264
13,"Fat_tree, Nodes 10000 seed 6673",40%,455,0.794108091,22,8.116040753,0,0.000258356
14,"Fat_tree, Nodes 10000 seed 6673",50%,823,0.657207841,29,9.936154927,0,0.000221448
15,"Fat_tree, Nodes 5000 seed 1313",10%,1,1,8,4.723722803,0.003112755,0.001089297
16,"Fat_tree, Nodes 5000 seed 1313",20%,1,1,9,5.082748654,0.002291205,0.000968264
17,"Fat_tree, Nodes 5000 seed 1313",30%,1,1,9,5.526695766,0.001476506,0.000847231
18,"Fat_tree, Nodes 5000 seed 1313",40%,5,0.997932175,10,6.272668727,0.000504484,0.000726198
19,"Fat_tree, Nodes 5000 seed 1313",50%,25,0.980976013,16,7.572339854,0.000317066,0.000605165
20,"Layered, Nodes 100 seed 97",10%,1,1,5,2.975555556,0.073532017,0.054545455
21,"Layered, Nodes 100 seed 97",20%,1,1,8,3.706262626,0.039266234,0.049090909
22,"Layered, Nodes 100 seed 97",30%,1,1,10,4.668080808,0.016047619,0.043636364
23,"Layered, Nodes 100 seed 97",40%,2,0.6,6,2.969491525,0.013428571,0.038181818
24,"Layered, Nodes 100 seed 97",50%,3,0.59,6,3.371127995,0.003333333,0.032727273
25,"Layered, Nodes 1000 seed 981",10%,1,1,6,3.426996997,0.029335203,0.010216216
26,"Layered, Nodes 1000 seed 981",20%,1,1,6,3.616506507,0.025292433,0.009081081
27,"Layered, Nodes 1000 seed 981",30%,1,1,6,3.795603604,0.022847033,0.007945946
28,"Layered, Nodes 1000 seed 981",40%,6,0.995,7,4.058283369,0.019428899,0.006810811
29,"Layered, Nodes 1000 seed 981",50%,13,0.988,10,4.824276321,0.013984249,0.005675676
30,"Layered, Nodes 10000 seed 4575",10%,1,1,12,5.254596772,0,0.001351615
31,"Layered, Nodes 10000 seed 4575",20%,1,1,12,5.287384184,0,0.001201435
32,"Layered, Nodes 10000 seed 4575",30%,1,1,12,5.384644919,0,0.001051256
33,"Layered, Nodes 10000 seed 4575",40%,3,0.999569058,12,5.605242446,0,0.000901077
34,"Layered, Nodes 10000 seed 4575",50%,31,0.993535876,12,5.948188972,0,0.000750897
35,"Layered, Nodes 5000 seed 4114",10%,1,1,9,4.321014281,0.007836632,0.001973894
36,"Layered, Nodes 5000 seed 4114",20%,1,1,9,4.384813166,0.007490558,0.001776505
37,"Layered, Nodes 5000 seed 4114",30%,1,1,9,4.463029799,0.006900243,0.001579115
38,"Layered, Nodes 5000 seed 4114",40%,1,1,9,4.562949452,0.006033943,0.001381726
39,"Layered, Nodes 5000 seed 4114",50%,1,1,9,4.749098207,0.005443907,0.001184336
40,"Microservice, Nodes 100 seed 30",10%,1,1,5,2.702222222,0.472738532,0.094949495
41,"Microservice, Nodes 100 seed 30",20%,1,1,6,3.147878788,0.459737207,0.085454545
42,"Microservice, Nodes 100 seed 30",30%,1,1,7,3.349292929,0.386350649,0.075959596
43,"Microservice, Nodes 100 seed 30",40%,2,0.99,10,3.872191301,0.32234127,0.066464646
44,"Microservice, Nodes 100 seed 30",50%,2,0.99,10,4.133580705,0.228166667,0.056969697
45,"Microservice, Nodes 500 seed 469",10%,1,1,6,3.22353507,0.126391705,0.026332665
46,"Microservice, Nodes 500 seed 469",20%,1,1,6,3.333915832,0.105900252,0.023406814
47,"Microservice, Nodes 500 seed 469",30%,1,1,7,3.550637275,0.090448762,0.020480962
