,Networks,batch num / Percentage of nodes removed,largest_component/N,Assortativity,avrage shortes path,efficiency
0,"Fat_tree, Size 10000 seed 6673",1,0.9562296858071506,-0.3679973489284371,5.543780293736829,0.189667122449
1,"Fat_tree, Size 10000 seed 6673",2,0.002527988443481401,-0.5128849674260261,5.057142857142857,0.309759156188
2,"Fat_tree, Size 10000 seed 6673",3,0.0006771397616468039,-0.2988666197092912,2.0,0.641666666667
3,"Fat_tree, Size 10000 seed 6673",4,0.00030954960532425323,,1.0,1.0
4,"Fat_tree, Size 1000 seed 5",1,0.9966666666666667,-0.2940827979707683,5.850687808568243,0.186314151328
5,"Fat_tree, Size 1000 seed 5",2,0.64625,-0.4078195070349941,8.751000854662408,0.133256767446
6,"Fat_tree, Size 1000 seed 5",3,0.027142857142857142,-0.48363690211757765,4.304093567251462,0.340151304186
7,"Fat_tree, Size 1000 seed 5",4,0.005,-0.14285714285714285,1.3333333333333333,0.833333333333
8,"Fat_tree, Size 100 seed 76",1,0.9333333333333333,-0.3850894333383438,5.640562248995984,0.234073720154
9,"Fat_tree, Size 100 seed 76",2,0.1375,-0.5576923076923067,2.6545454545454548,0.475757575758
10,"Fat_tree, Size 100 seed 76",3,0.08571428571428572,-0.3636363636363635,2.1333333333333333,0.6
11,"Fat_tree, Size 100 seed 76",4,0.03333333333333333,,1.0,1.0
12,"Fat_tree, Size 5000 seed 1313",1,0.8106060606060606,-0.45718312258255284,5.593743476436548,0.188132658679
13,"Fat_tree, Size 5000 seed 1313",2,0.41864669421487605,-0.6381510219414658,8.864028453705608,0.123863355773
14,"Fat_tree, Size 5000 seed 1313",3,0.0011806375442739079,-0.5,1.5,0.75
15,"Layered, Size 10000 seed 4575",1,0.9987068965517242,-0.2600220306271446,5.16035718314719,0.213652112938
16,"Layered, Size 10000 seed 4575",2,0.6439176245210728,-0.8186746915311696,9.55996929731357,0.114111092814
17,"Layered, Size 1000 seed 981",1,0.8333333333333334,-0.2732733128171684,4.293368936359591,0.258065382414
18,"Layered, Size 1000 seed 981",2,0.64875,-0.26653052810273814,4.531338109372792,0.243524697282
19,"Layered, Size 1000 seed 981",3,0.4857142857142857,-0.060346644866396355,6.047527329515877,0.189951157207
20,"Layered, Size 1000 seed 981",4,0.051666666666666666,0.0054629499929959874,6.546236559139785,0.249805409644
21,"Layered, Size 1000 seed 981",5,0.004,,1.0,1.0
22,"Layered, Size 100 seed 97",1,0.6,-0.1974735918252205,2.649895178197065,0.439983694386
23,"Layered, Size 100 seed 97",2,0.5375,-0.5532118887823584,3.7032115171650055,0.348172757475
24,"Layered, Size 100 seed 97",3,0.4142857142857143,-0.3711583924349898,5.561576354679803,0.272077655514
25,"Layered, Size 100 seed 97",4,0.03333333333333333,,1.0,1.0
26,"Layered, Size 5000 seed 4114",1,1.0,0.30823816417220395,4.323539616909335,0.247042405266
27,"Layered, Size 5000 seed 4114",2,0.7184815738431699,-0.6759782033503066,5.810987737641228,0.183467280137
28,"Layered, Size 5000 seed 4114",3,0.0018703241895261845,-0.5214331413947536,2.1333333333333333,0.6
29,"Microservice, Size 1000 seed 962",1,0.8577777777777778,0.02769258007900684,3.119160904014032,0.346986675897
30,"Microservice, Size 1000 seed 962",2,0.825,0.008470946646171044,3.3198786039453716,0.32731273279
31,"Microservice, Size 1000 seed 962",3,0.8,0.06879923254008971,3.636129568106312,0.301305370985
32,"Microservice, Size 1000 seed 962",4,0.7633333333333333,0.09143163811275629,4.111110049401355,0.269852250953
33,"Microservice, Size 1000 seed 962",5,0.712,0.07368596772113051,5.185773065358442,0.220094238111
34,"Microservice, Size 1000 seed 962",6,0.2875,0.1058583076000276,10.50739893211289,0.156079031382
35,"Microservice, Size 1000 seed 962",7,0.016666666666666666,-0.07586206896551756,2.0,0.641666666667
36,"Microservice, Size 100 seed 30",1,0.8444444444444444,-0.024579002396459,3.0385964912280703,0.399461988304
37,"Microservice, Size 100 seed 30",2,0.825,0.14841489429108634,3.516083916083916,0.363377733378
38,"Microservice, Size 100 seed 30",3,0.8,0.1858189151894696,4.1220779220779225,0.329461193568
39,"Microservice, Size 100 seed 30",4,0.4666666666666667,0.11361361361361369,4.592592592592593,0.348548791009
40,"Microservice, Size 100 seed 30",5,0.28,0.1287878787878805,3.241758241758242,0.444466248038
41,"Microservice, Size 100 seed 30",6,0.15,0.12698412698412806,2.066666666666667,0.605555555556
42,"Microservice, Size 100 seed 30",7,0.06666666666666667,,1.0,1.0
43,"Microservice, Size 500 seed 469",1,0.8444444444444444,0.09012335680805997,3.0796694903485626,0.358648798778
44,"Microservice, Size 500 seed 469",2,0.825,0.04968762976512759,3.2975591784102423,0.337382333978
45,"Microservice, Size 500 seed 469",3,0.8,-0.007386018598259418,3.636815156169995,0.309220430108
46,"Microservice, Size 500 seed 469",4,0.7666666666666667,0.028069360158909172,4.488969052591608,0.259303314136
47,"Microservice, Size 500 seed 469",5,0.696,0.02654516640253637,6.4049564812969235,0.199454123251
48,"Microservice, Size 500 seed 469",6,0.095,-0.0746366160378896,4.152046783625731,0.350106748352
49,"Microservice, Size 500 seed 469",7,0.013333333333333334,,1.0,1.0
