,Networks,Percentage of nodes removed,Number of Connected Components,largest_component/N,Diameter,avrage shortes path,Average Clustering Coefficient,avrage Degress
0,"Fat_tree, Nodes 100 seed 76",10 %,13,0.6,12,5.174703004891684,0.07786596119929454,0.02521847690387016
1,"Fat_tree, Nodes 100 seed 76",20 %,29,0.25,9,3.8210526315789473,0.07669642857142857,0.02120253164556962
2,"Fat_tree, Nodes 100 seed 76",30 %,41,0.14285714285714285,3,1.4666666666666666,0.08765306122448979,0.018633540372670808
3,"Fat_tree, Nodes 100 seed 76",40 %,52,0.05,2,1.3333333333333333,0.0,0.004519774011299435
4,"Fat_tree, Nodes 100 seed 76",50 %,49,0.04,1,1.0,0.0,0.0008163265306122448
5,"Fat_tree, Nodes 1000 seed 5",10 %,136,0.85,11,5.567426342264654,0.006431408098074764,0.0033098504511185267
6,"Fat_tree, Nodes 1000 seed 5",20 %,234,0.6525,26,8.92899743346497,0.007226190476190476,0.002230913642052566
7,"Fat_tree, Nodes 1000 seed 5",30 %,367,0.13,17,6.457142857142857,0.003802721088435374,0.0014878397711015738
8,"Fat_tree, Nodes 1000 seed 5",40 %,446,0.011666666666666667,4,2.2857142857142856,0.0,0.0008569838619922093
9,"Fat_tree, Nodes 1000 seed 5",50 %,490,0.004,1,1.0,0.0,8.016032064128256e-05
10,"Fat_tree, Nodes 10000 seed 6673",10 %,131,0.9540628385698808,12,5.533639845735246,0.0014559885935883589,0.00036687782998783686
11,"Fat_tree, Nodes 10000 seed 6673",20 %,5047,0.0055374984952449744,14,5.906280193236715,0.0,9.449557205633756e-05
12,"Fat_tree, Nodes 10000 seed 6673",30 %,6610,0.00040628385698808235,2,1.3333333333333333,0.0,2.839529597803745e-05
13,"Fat_tree, Nodes 10000 seed 6673",40 %,6165,0.00030954960532425323,1,1.0,0.0,1.4183697086064854e-05
14,"Fat_tree, Nodes 10000 seed 6673",50 %,5242,0.00036114120621162876,1,1.0,0.0,1.930608579350589e-05
15,"Fat_tree, Nodes 5000 seed 1313",10 %,1002,0.7702020202020202,9,5.415631490126343,0.002732885928478215,0.0006831702896831798
16,"Fat_tree, Nodes 5000 seed 1313",20 %,2006,0.47365702479338845,17,8.26098826732252,0.00044130427653154923,0.00030316551769782085
17,"Fat_tree, Nodes 5000 seed 1313",30 %,3010,0.003246753246753247,6,2.9454545454545453,0.0,6.588145729783542e-05
18,"Fat_tree, Nodes 5000 seed 1313",40 %,2898,0.0006887052341597796,1,1.0,0.0,1.4234348621972708e-06
19,"Fat_tree, Nodes 5000 seed 1313",50 %,2415,0.0008264462809917355,1,1.0,0.0,1.7082395225128886e-06
20,"Layered, Nodes 100 seed 97",10 %,36,0.6111111111111112,5,2.6316498316498316,0.02152557319223986,0.037702871410736576
21,"Layered, Nodes 100 seed 97",20 %,37,0.55,7,3.3551797040169133,0.02470238095238095,0.025
22,"Layered, Nodes 100 seed 97",30 %,40,0.24285714285714285,7,3.514705882352941,0.009523809523809523,0.014078674948240166
23,"Layered, Nodes 100 seed 97",40 %,50,0.08333333333333333,3,1.8,0.0,0.005649717514124294
24,"Layered, Nodes 100 seed 97",50 %,49,0.04,1,1.0,0.0,0.0008163265306122448
25,"Layered, Nodes 1000 seed 981",10 %,349,0.61,6,3.304874157393004,0.017094095447036623,0.005541960202694351
26,"Layered, Nodes 1000 seed 981",20 %,349,0.56125,8,4.027968899140948,0.010896013708513707,0.0036483103879849815
27,"Layered, Nodes 1000 seed 981",30 %,364,0.47,13,5.684984061086811,0.007802721088435374,0.002158185162477008
28,"Layered, Nodes 1000 seed 981",40 %,415,0.20833333333333334,41,14.20025806451613,0.0023888888888888887,0.0010517529215358931
29,"Layered, Nodes 1000 seed 981",50 %,467,0.008,2,1.5,0.0,0.0002645290581162325
30,"Layered, Nodes 10000 seed 4575",10 %,5,0.9991379310344828,12,5.17377933400534,0.0019136225664341607,0.0014950085853818078
31,"Layered, Nodes 10000 seed 4575",20 %,2875,0.1460727969348659,52,20.99933780182508,0.0,0.00014958588569986464
32,"Layered, Nodes 5000 seed 4114",10 %,3,0.9995012468827931,9,4.332988751720418,0.0077591374289658725,0.001963537153623798
33,"Layered, Nodes 5000 seed 4114",20 %,1459,0.5940703796065392,13,5.239310911610867,0.0016312941069872367,0.0007154446969543375
34,"Layered, Nodes 5000 seed 4114",30 %,3099,0.027743142144638404,10,4.692798774259448,0.00033317679826408,2.371682269225595e-05
35,"Microservice, Nodes 100 seed 30",10 %,15,0.8444444444444444,7,3.152982456140351,0.5207634957634958,0.07965043695380775
36,"Microservice, Nodes 100 seed 30",20 %,15,0.825,10,4.245687645687646,0.5446428571428571,0.07246835443037974
37,"Microservice, Nodes 100 seed 30",30 %,19,0.3,5,2.5428571428571427,0.564047619047619,0.06749482401656315
38,"Microservice, Nodes 100 seed 30",40 %,21,0.18333333333333332,2,1.3636363636363635,0.49154761904761907,0.0615819209039548
39,"Microservice, Nodes 100 seed 30",50 %,23,0.16,2,1.2142857142857142,0.3999047619047619,0.04816326530612245
40,"Microservice, Nodes 500 seed 469",10 %,71,0.8444444444444444,5,3.167740591584502,0.15807465504635299,0.025152190051967335
41,"Microservice, Nodes 500 seed 469",20 %,71,0.825,6,3.589315648890117,0.15537078525905923,0.022731829573934836
42,"Microservice, Nodes 500 seed 469",30 %,71,0.8,9,4.577342549923195,0.15856354792192917,0.020892345476872697
43,"Microservice, Nodes 500 seed 469",40 %,74,0.2633333333333333,6,3.0989938331710483,0.148136390441344,0.019108138238573023
44,"Microservice, Nodes 500 seed 469",50 %,78,0.16,4,2.1564102564102563,0.12840894660894658,0.01606425702811245
45,"Microservice, Nodes 1000 seed 962",10 %,141,0.8444444444444444,5,3.092514388738645,0.0833483655282922,0.014836237795080955
46,"Microservice, Nodes 1000 seed 962",20 %,141,0.825,5,3.4057617142594383,0.08112602170405037,0.01297872340425532
47,"Microservice, Nodes 1000 seed 962",30 %,141,0.8,7,3.89078073089701,0.07833119191732638,0.011481708563253628
48,"Microservice, Nodes 1000 seed 962",40 %,141,0.7666666666666667,10,5.001212465662594,0.08238723939459233,0.010027824151363383
49,"Microservice, Nodes 1000 seed 962",50 %,143,0.36,13,5.649534450651769,0.07771692342744975,0.008665330661322643
