,Networks,Percentage of nodes removed,Number of Connected Components,largest_component/N,Diameter,avrage shortes path,Average Clustering Coefficient,avrage Degress
0,"Fat_tree, Nodes 100 seed 76",10 %,7,0.9333333333333333,14,5.640562248995984,0.0,0.02421972534332085
1,"Fat_tree, Nodes 100 seed 76",20 %,36,0.1375,4,2.6545454545454548,0.0,0.014240506329113925
2,"Fat_tree, Nodes 100 seed 76",30 %,55,0.08571428571428572,4,2.1333333333333333,0.0,0.006211180124223602
3,"Fat_tree, Nodes 100 seed 76",40 %,59,0.03333333333333333,1,1.0,0.0,0.0005649717514124294
4,"Fat_tree, Nodes 1000 seed 5",10 %,4,0.9966666666666667,11,5.850687808568243,0.008027497194163862,0.0032801878630577186
5,"Fat_tree, Nodes 1000 seed 5",20 %,249,0.64625,20,8.751000854662408,0.0025,0.001964956195244055
6,"Fat_tree, Nodes 1000 seed 5",30 %,467,0.027142857142857142,9,4.304093567251462,0.0,0.0009523809523809524
7,"Fat_tree, Nodes 1000 seed 5",40 %,576,0.005,2,1.3333333333333333,0.0,0.0001335559265442404
8,"Fat_tree, Nodes 10000 seed 6673",10 %,125,0.9562296858071506,12,5.543780293736829,0.0014653141727432762,0.0003667839152739017
9,"Fat_tree, Nodes 10000 seed 6673",20 %,5181,0.002527988443481401,12,5.057142857142857,0.0,9.061139823561694e-05
10,"Fat_tree, Nodes 10000 seed 6673",30 %,6738,0.0006771397616468039,4,2.0,0.0,2.3699433077276736e-05
11,"Fat_tree, Nodes 10000 seed 6673",40 %,6408,0.00030954960532425323,1,1.0,0.0,2.5396484647345853e-06
12,"Fat_tree, Nodes 5000 seed 1313",10 %,826,0.8106060606060606,9,5.593743476436548,0.0029344380239697044,0.0006768446388527799
13,"Fat_tree, Nodes 5000 seed 1313",20 %,2201,0.41864669421487605,19,8.864028453705608,0.0007229355240718876,0.00026059958453514265
14,"Fat_tree, Nodes 5000 seed 1313",30 %,3352,0.0011806375442739079,2,1.5,0.0,6.274424504555755e-06
15,"Layered, Nodes 100 seed 97",10 %,30,0.6,5,2.649895178197065,0.011790123456790123,0.037702871410736576
16,"Layered, Nodes 100 seed 97",20 %,31,0.5375,9,3.7032115171650055,0.0,0.024683544303797468
17,"Layered, Nodes 100 seed 97",30 %,42,0.4142857142857143,12,5.561576354679803,0.0,0.012008281573498964
18,"Layered, Nodes 100 seed 97",40 %,56,0.03333333333333333,1,1.0,0.0,0.0022598870056497176
19,"Layered, Nodes 1000 seed 981",10 %,151,0.8333333333333334,8,4.293368936359591,0.017118422971364147,0.005398591027067112
20,"Layered, Nodes 1000 seed 981",20 %,282,0.64875,8,4.531338109372792,0.012794642857142857,0.0036295369211514395
21,"Layered, Nodes 1000 seed 981",30 %,361,0.4857142857142857,15,6.047527329515877,0.0014285714285714286,0.0020559983650112403
22,"Layered, Nodes 1000 seed 981",40 %,459,0.051666666666666666,15,6.546236559139785,0.0,0.000790205898720089
23,"Layered, Nodes 1000 seed 981",50 %,489,0.004,1,1.0,0.0,8.817635270541081e-05
24,"Layered, Nodes 10000 seed 4575",10 %,7,0.9987068965517242,11,5.16035718314719,0.0019082632743325227,0.0014947298392192132
25,"Layered, Nodes 10000 seed 4575",20 %,1460,0.6439176245210728,18,9.55996929731357,0.0,0.0003460894303347328
26,"Layered, Nodes 5000 seed 4114",10 %,1,1.0,9,4.323539616909335,0.007833503448176467,0.0019560726519943596
27,"Layered, Nodes 5000 seed 4114",20 %,1010,0.7184815738431699,11,5.810987737641228,0.004889986568079777,0.0006070067501853891
28,"Layered, Nodes 5000 seed 4114",30 %,3167,0.0018703241895261845,4,2.1333333333333333,0.0,7.970407626086017e-06
29,"Microservice, Nodes 100 seed 30",10 %,15,0.8444444444444444,6,3.0385964912280703,0.4965573932240599,0.07790262172284644
30,"Microservice, Nodes 100 seed 30",20 %,15,0.825,7,3.516083916083916,0.4193948412698413,0.06645569620253164
31,"Microservice, Nodes 100 seed 30",30 %,15,0.8,8,4.1220779220779225,0.36204081632653057,0.05838509316770187
32,"Microservice, Nodes 100 seed 30",40 %,16,0.4666666666666667,12,4.592592592592593,0.23365079365079364,0.04350282485875707
33,"Microservice, Nodes 100 seed 30",50 %,23,0.28,8,3.241758241758242,0.14,0.02857142857142857
34,"Microservice, Nodes 500 seed 469",10 %,71,0.8444444444444444,5,3.0796694903485626,0.12665092908849357,0.023449641177926254
35,"Microservice, Nodes 500 seed 469",20 %,71,0.825,6,3.2975591784102423,0.10960076035076036,0.020087719298245613
36,"Microservice, Nodes 500 seed 469",30 %,71,0.8,6,3.636815156169995,0.08850340136054421,0.016275071633237822
37,"Microservice, Nodes 500 seed 469",40 %,71,0.7666666666666667,9,4.488969052591608,0.06574867724867725,0.012419175027870679
38,"Microservice, Nodes 500 seed 469",50 %,76,0.696,16,6.4049564812969235,0.023466666666666663,0.008771084337349397
39,"Microservice, Nodes 1000 seed 962",10 %,129,0.8577777777777778,5,3.119160904014032,0.07331883304622569,0.014225682857495982
40,"Microservice, Nodes 1000 seed 962",20 %,141,0.825,6,3.3198786039453716,0.06366264773453241,0.01217459324155194
41,"Microservice, Nodes 1000 seed 962",30 %,141,0.8,6,3.636129568106312,0.053999238856381714,0.010120580421009604
42,"Microservice, Nodes 1000 seed 962",40 %,142,0.7633333333333333,8,4.111110049401355,0.04002332852332852,0.008030050083472455
43,"Microservice, Nodes 1000 seed 962",50 %,144,0.712,11,5.185773065358442,0.02639047619047619,0.005739478957915831
